rc_m,seed,switch_c0,switch_c1_slope,fade_cost_us
1.0,0,3.1762849729721765e-05,0.0001006369365619264,700.3159989835694
1.0,1,3.1762849729721765e-05,0.0001006369365619264,716.4351001847535
1.0,2,3.1762849729721765e-05,0.0001006369365619264,706.0294003167655
1.0,3,3.1762849729721765e-05,0.0001006369365619264,786.3250008085743
1.0,4,3.1762849729721765e-05,0.0001006369365619264,743.4533988998737
1.0,5,3.1762849729721765e-05,0.0001006369365619264,745.524100784678
1.0,6,3.1762849729721765e-05,0.0001006369365619264,752.5363987952005
1.0,7,3.1762849729721765e-05,0.0001006369365619264,744.0167006279808
1.0,8,3.1762849729721765e-05,0.0001006369365619264,733.8518007600214
1.0,9,3.1762849729721765e-05,0.0001006369365619264,787.2525980928913
1.0,10,3.1762849729721765e-05,0.0001006369365619264,695.183399511734
1.0,11,3.1762849729721765e-05,0.0001006369365619264,691.6771009855438
1.0,12,3.1762849729721765e-05,0.0001006369365619264,694.5024979359005
1.0,13,3.1762849729721765e-05,0.0001006369365619264,692.6738991751336
1.0,14,3.1762849729721765e-05,0.0001006369365619264,693.8307014934253
1.0,15,3.1762849729721765e-05,0.0001006369365619264,697.5113989028614
1.0,16,3.1762849729721765e-05,0.0001006369365619264,689.3804995343089
1.0,17,3.1762849729721765e-05,0.0001006369365619264,694.4092987396289
1.0,18,3.1762849729721765e-05,0.0001006369365619264,688.7425988679752
1.0,19,3.1762849729721765e-05,0.0001006369365619264,692.9172013769858
1.0,20,3.1762849729721765e-05,0.0001006369365619264,708.1937001203187
1.0,21,3.1762849729721765e-05,0.0001006369365619264,708.8725003995933
1.0,22,3.1762849729721765e-05,0.0001006369365619264,713.6848988011479
1.0,23,3.1762849729721765e-05,0.0001006369365619264,693.3800999831874
1.0,24,3.1762849729721765e-05,0.0001006369365619264,699.4813986239024
1.0,25,3.1762849729721765e-05,0.0001006369365619264,702.7302999631502
1.0,26,3.1762849729721765e-05,0.0001006369365619264,704.8675004625693
1.0,27,3.1762849729721765e-05,0.0001006369365619264,693.0085990461521
1.0,28,3.1762849729721765e-05,0.0001006369365619264,701.0459012235515
1.0,29,3.1762849729721765e-05,0.0001006369365619264,778.7753995216917
1.5,0,8.650190405057323e-05,0.00013244415120183817,706.1916003294755
1.5,1,8.650190405057323e-05,0.00013244415120183817,699.1298010689206
1.5,2,8.650190405057323e-05,0.00013244415120183817,698.5566986259073
1.5,3,8.650190405057323e-05,0.00013244415120183817,691.0001015057787
1.5,4,8.650190405057323e-05,0.00013244415120183817,694.8706999537535
1.5,5,8.650190405057323e-05,0.00013244415120183817,689.6659018821083
1.5,6,8.650190405057323e-05,0.00013244415120183817,690.2093002281617
1.5,7,8.650190405057323e-05,0.00013244415120183817,691.5336998645216
1.5,8,8.650190405057323e-05,0.00013244415120183817,692.5201014382765
1.5,9,8.650190405057323e-05,0.00013244415120183817,692.4124012584798
1.5,10,8.650190405057323e-05,0.00013244415120183817,689.117800357053
1.5,11,8.650190405057323e-05,0.00013244415120183817,692.8159011295065
1.5,12,8.650190405057323e-05,0.00013244415120183817,834.6219008672051
1.5,13,8.650190405057323e-05,0.00013244415120183817,725.4028008901514
1.5,14,8.650190405057323e-05,0.00013244415120183817,717.0306002080906
1.5,15,8.650190405057323e-05,0.00013244415120183817,728.4781007911079
1.5,16,8.650190405057323e-05,0.00013244415120183817,745.8672000211664
1.5,17,8.650190405057323e-05,0.00013244415120183817,722.040898835985
1.5,18,8.650190405057323e-05,0.00013244415120183817,700.0081001024228
1.5,19,8.650190405057323e-05,0.00013244415120183817,699.7487995249685
