switch_width_m,seed,switch_c0,curvature_c2
0.05,0,0.000703129404616476,8.1990315737368
0.05,1,0.000703129404616476,8.1990315737368
0.05,2,0.000703129404616476,8.1990315737368
0.05,3,0.000703129404616476,8.1990315737368
0.05,4,0.000703129404616476,8.1990315737368
0.05,5,0.000703129404616476,8.1990315737368
0.05,6,0.000703129404616476,8.1990315737368
0.05,7,0.000703129404616476,8.1990315737368
0.05,8,0.000703129404616476,8.1990315737368
0.05,9,0.000703129404616476,8.1990315737368
0.05,10,0.000703129404616476,8.1990315737368
0.05,11,0.000703129404616476,8.1990315737368
0.05,12,0.000703129404616476,8.1990315737368
0.05,13,0.000703129404616476,8.1990315737368
0.05,14,0.000703129404616476,8.1990315737368
0.05,15,0.000703129404616476,8.1990315737368
0.05,16,0.000703129404616476,8.1990315737368
0.05,17,0.000703129404616476,8.1990315737368
0.05,18,0.000703129404616476,8.1990315737368
0.05,19,0.000703129404616476,8.1990315737368
0.05,20,0.000703129404616476,8.1990315737368
0.05,21,0.000703129404616476,8.1990315737368
0.05,22,0.000703129404616476,8.1990315737368
0.05,23,0.000703129404616476,8.1990315737368
0.05,24,0.000703129404616476,8.1990315737368
0.05,25,0.000703129404616476,8.1990315737368
0.05,26,0.000703129404616476,8.1990315737368
0.05,27,0.000703129404616476,8.1990315737368
0.05,28,0.000703129404616476,8.1990315737368
0.05,29,0.000703129404616476,8.1990315737368
0.1,0,0.00033315400051070476,4.063054306407963
0.1,1,0.00033315400051070476,4.063054306407963
0.1,2,0.00033315400051070476,4.063054306407963
0.1,3,0.00033315400051070476,4.063054306407963
0.1,4,0.00033315400051070476,4.063054306407963
0.1,5,0.00033315400051070476,4.063054306407963
0.1,6,0.00033315400051070476,4.063054306407963
0.1,7,0.00033315400051070476,4.063054306407963
0.1,8,0.00033315400051070476,4.063054306407963
0.1,9,0.00033315400051070476,4.063054306407963
0.1,10,0.00033315400051070476,4.063054306407963
0.1,11,0.00033315400051070476,4.063054306407963
0.1,12,0.00033315400051070476,4.063054306407963
0.1,13,0.00033315400051070476,4.063054306407963
0.1,14,0.00033315400051070476,4.063054306407963
0.1,15,0.00033315400051070476,4.063054306407963
0.1,16,0.00033315400051070476,4.063054306407963
0.1,17,0.00033315400051070476,4.063054306407963
0.1,18,0.00033315400051070476,4.063054306407963
0.1,19,0.00033315400051070476,4.063054306407963
0.1,20,0.00033315400051070476,4.063054306407963
0.1,21,0.00033315400051070476,4.063054306407963
0.1,22,0.00033315400051070476,4.063054306407963
0.1,23,0.00033315400051070476,4.063054306407963
0.1,24,0.00033315400051070476,4.063054306407963
0.1,25,0.00033315400051070476,4.063054306407963
0.1,26,0.00033315400051070476,4.063054306407963
0.1,27,0.00033315400051070476,4.063054306407963
0.1,28,0.00033315400051070476,4.063054306407963
0.1,29,0.00033315400051070476,4.063054306407963
0.3,0,8.650190405057323e-05,1.3056424291768565
0.3,1,8.650190405057323e-05,1.3056424291768565
0.3,2,8.650190405057323e-05,1.3056424291768565
0.3,3,8.650190405057323e-05,1.3056424291768565
0.3,4,8.650190405057323e-05,1.3056424291768565
0.3,5,8.650190405057323e-05,1.3056424291768565
0.3,6,8.650190405057323e-05,1.3056424291768565
0.3,7,8.650190405057323e-05,1.3056424291768565
0.3,8,8.650190405057323e-05,1.3056424291768565
0.3,9,8.650190405057323e-05,1.3056424291768565
0.3,10,8.650190405057323e-05,1.3056424291768565
0.3,11,8.650190405057323e-05,1.3056424291768565
0.3,12,8.650190405057323e-05,1.3056424291768565
0.3,13,8.650190405057323e-05,1.3056424291768565
0.3,14,8.650190405057323e-05,1.3056424291768565
0.3,15,8.650190405057323e-05,1.3056424291768565
0.3,16,8.650190405057323e-05,1.3056424291768565
0.3,17,8.650190405057323e-05,1.3056424291768565
0.3,18,8.650190405057323e-05,1.3056424291768565
0.3,19,8.650190405057323e-05,1.3056424291768565
0.3,20,8.650190405057323e-05,1.3056424291768565
0.3,21,8.650190405057323e-05,1.3056424291768565
0.3,22,8.650190405057323e-05,1.3056424291768565
0.3,23,8.650190405057323e-05,1.3056424291768565
0.3,24,8.650190405057323e-05,1.3056424291768565
0.3,25,8.650190405057323e-05,1.3056424291768565
0.3,26,8.650190405057323e-05,1.3056424291768565
