R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
16.0,gaussian_shipped,6,0.0009916242839603498,0.36995605010853694
16.0,gaussian_shipped,7,0.00163532879184133,0.5877676481247
16.0,gaussian_shipped,8,0.001549868498101475,0.6111473142194757
16.0,gaussian_shipped,9,0.0014081471574843467,0.5935554561574936
16.0,gaussian_shipped,10,0.002360388139929815,0.9364562739494167
16.0,gaussian_shipped,11,0.0018455892550854642,0.7145326063799035
16.0,gaussian_shipped,12,0.002284912590780668,0.833834615769788
16.0,gaussian_shipped,13,0.002341154788644102,0.9581179177531115
16.0,gaussian_shipped,14,0.0015435945738051639,0.6661145646250406
16.0,gaussian_shipped,15,0.0023670846351064655,0.9075016782980323
16.0,gaussian_shipped,16,0.0019401745948691453,0.8352121888640536
16.0,gaussian_shipped,17,0.000752217098379109,0.2990184362775262
16.0,gaussian_shipped,18,0.0008793944269823007,0.3796475046103354
16.0,gaussian_shipped,19,0.002388631549140594,0.8820911281847034
16.0,gaussian_shipped,20,0.001444615809047488,0.5797953421631419
16.0,gaussian_shipped,21,0.001857657311610129,0.7428367241368443
16.0,gaussian_shipped,22,0.0015432371507374785,0.6653220899088411
16.0,gaussian_shipped,23,0.0015402667797800144,0.6116274430757936
16.0,gaussian_shipped,24,0.0020102729230488787,0.8573600029310441
16.0,gaussian_shipped,25,0.0011462669248367315,0.42549240744172534
16.0,gaussian_shipped,26,0.001005486849845563,0.4082513144171276
16.0,gaussian_shipped,27,0.002482614642673383,0.8869079585728442
16.0,gaussian_shipped,28,0.002087580612159505,0.8240971844511665
16.0,gaussian_shipped,29,0.0011270523015812577,0.4573351718505174
16.0,gaussian_calibrated,0,6.390034628287438e-06,0.002635900953865293
16.0,gaussian_calibrated,1,2.127218164079529e-06,0.0008707744805516907
16.0,gaussian_calibrated,2,5.2788818002972455e-06,0.001913594140865962
16.0,gaussian_calibrated,3,2.6789256278690755e-06,0.0010518601469702575
16.0,gaussian_calibrated,4,4.536766792594692e-06,0.001840253182270976
16.0,gaussian_calibrated,5,6.4537338388923906e-06,0.002722147497668237
16.0,gaussian_calibrated,6,2.7967409368071467e-06,0.0010563767465904615
16.0,gaussian_calibrated,7,4.612221636017232e-06,0.0016732831041693665
16.0,gaussian_calibrated,8,4.371192542801346e-06,0.0017299487133835584
16.0,gaussian_calibrated,9,3.9714868464663e-06,0.001685272602667668
16.0,gaussian_calibrated,10,6.657152557147084e-06,0.0026664339190558503
16.0,gaussian_calibrated,11,5.2052325721737906e-06,0.002036555471491713
16.0,gaussian_calibrated,12,6.444284073137811e-06,0.0023725574473969805
16.0,gaussian_calibrated,13,6.602907515186316e-06,0.0027172160659154772
16.0,gaussian_calibrated,14,4.353497795710395e-06,0.0018914735533921438
16.0,gaussian_calibrated,15,6.676039107725367e-06,0.0025812312182637532
16.0,gaussian_calibrated,16,5.471997612193133e-06,0.0023781389361490456
16.0,gaussian_calibrated,17,2.1215256488083975e-06,0.0008548721352169179
16.0,gaussian_calibrated,18,2.480211944506801e-06,0.0010780165919004423
16.0,gaussian_calibrated,19,6.736809237618153e-06,0.0025076980685843206
16.0,gaussian_calibrated,20,4.074341700251699e-06,0.001647193842159041
16.0,gaussian_calibrated,21,5.239268878319337e-06,0.0021026742030542337
16.0,gaussian_calibrated,22,4.3524897327360164e-06,0.0018927989982171116
16.0,gaussian_calibrated,23,4.3441122069042924e-06,0.0017479476613656512
16.0,gaussian_calibrated,24,5.6697003784455194e-06,0.002441633222479392
16.0,gaussian_calibrated,25,3.2328893967739023e-06,0.001208960861297321
16.0,gaussian_calibrated,26,2.8358384116546986e-06,0.0011642498170225148
16.0,gaussian_calibrated,27,7.001875724293097e-06,0.0025192259920316287
16.0,gaussian_calibrated,28,5.887736163130168e-06,0.0023348685143182975
16.0,gaussian_calibrated,29,3.178697174666059e-06,0.0012991024060011289
